stamp,aeb_switch,aeb_state,aeb_direction,aeb_fcn_state
3016831352892,1,2,0,0
3016850447908,1,2,0,0
3016871577704,1,2,0,0
3016890691008,1,2,0,0
3016911381688,1,2,0,0
3016930340936,1,2,0,0
3016950422264,1,2,0,0
3016970724696,1,2,0,0
3016991842036,1,2,0,0
3017010474468,1,2,0,0
3017030504200,1,2,0,0
3017050414988,1,2,0,0
3017070601888,1,2,0,0
3017090671444,1,2,0,0
3017110556184,1,2,0,0
3017130352660,1,2,0,0
3017150449540,1,2,0,0
3017170975984,1,2,0,0
3017190602552,1,2,0,0
3017210534908,1,2,0,0
3017230338592,1,2,0,0
3017250461324,1,2,0,0
3017270497768,1,2,0,0
3017290951948,1,2,0,0
3017310354640,1,2,0,0
3017330367392,1,2,0,0
3017350589644,1,2,0,0
3017370599052,1,2,0,0
3017391459160,1,2,0,0
3017410388180,1,2,0,0
3017430418196,1,2,0,0
3017450467064,1,2,0,0
3017470690316,1,2,0,0
3017491800016,1,2,0,0
3017510344740,1,2,0,0
3017530396000,1,2,0,0
3017550487684,1,2,0,0
3017570604964,1,2,0,0
3017590674212,1,2,0,0
3017610371496,1,2,0,0
3017630410436,1,2,0,0
3017650443604,1,2,0,0
3017671540532,1,2,0,0
3017690397428,1,2,0,0
3017710384248,1,2,0,0
3017731390968,1,2,0,0
3017750397620,1,2,0,0
3017770494580,1,2,0,0
3017790431864,1,2,0,0
3017810333660,1,2,0,0
3017830445496,1,2,0,0
3017850494876,1,2,0,0
3017870510356,1,2,0,0
3017890913084,1,2,0,0
3017911290596,1,2,0,0
3017931030488,1,2,0,0
3017951419808,1,2,0,0
3017970461412,1,2,0,0
3017991482212,1,2,0,0
3018010395388,1,2,0,0
3018030395156,1,2,0,0
3018050502964,1,2,0,0
3018071516772,1,2,0,0
3018091589492,1,2,0,0
3018110536164,1,2,0,0
3018131382240,1,2,0,0
3018150643812,1,2,0,0
3018170480596,1,2,0,0
3018190420220,1,2,0,0
3018211294428,1,2,0,0
3018230396080,1,2,0,0
3018250544276,1,2,0,0
3018270880196,1,2,0,0
3018291447284,1,2,0,0
3018310474524,1,2,0,0
3018331773756,1,2,0,0
3018350446360,1,2,0,0
3018370916796,1,2,0,0
3018390436772,1,2,0,0
3018410370612,1,2,0,0
3018431320404,1,2,0,0
3018450475184,1,2,0,0
3018470617188,1,2,0,0
3018490908192,1,2,0,0
3018510398164,1,2,0,0
3018533790880,1,2,0,0
3018550524644,1,2,0,0
3018570569236,1,2,0,0
3018590517716,1,2,0,0
3018610357224,1,2,0,0
3018633047448,1,2,0,0
3018651369524,1,2,0,0
3018670436260,1,2,0,0
3018690362340,1,2,0,0
3018711385076,1,2,0,0
3018734850568,1,2,0,0
3018750584340,1,2,0,0
3018770406296,1,2,0,0
3018791810884,1,2,0,0
3018810394676,1,2,0,0
3018833923216,1,2,0,0
3018850396252,1,2,0,0
3018870427316,1,2,0,0
3018890885108,1,2,0,0
3018911324816,1,2,0,0
3018937256552,1,2,0,0
3018951416452,1,2,0,0
3018970534076,1,2,0,0
3018990505588,1,2,0,0
3019010371920,1,2,0,0
3019034813940,1,2,0,0
3019050463476,1,2,0,0
3019070470908,1,2,0,0
3019090819012,1,2,0,0
3019111353496,1,2,0,0
3019137243652,1,2,0,0
3019150407064,1,2,0,0
3019170508804,1,2,0,0
3019190455604,1,2,0,0
3019210383316,1,2,0,0
3019230447044,1,2,0,0
3019250436484,1,2,0,0
3019270541156,1,2,0,0
3019291376212,1,2,0,0
3019311494240,1,2,0,0
3019330392600,1,2,0,0
3019350467376,1,2,0,0
3019370653316,1,2,0,0
3019391468660,1,2,0,0
3019410386068,1,2,0,0
3019430372212,1,2,0,0
3019450496852,1,2,0,0
3019470525940,1,2,0,0
3019491624812,1,2,0,0
3019510902932,1,2,0,0
3019531359484,1,2,0,0
3019550506232,1,2,0,0
3019570547952,1,2,0,0
3019590627292,1,2,0,0
3019610328696,1,2,0,0
3019630623140,1,2,0,0
3019650549040,1,2,0,0
3019670564948,1,2,0,0
3019691554256,1,2,0,0
3019710388768,1,2,0,0
3019730387216,1,2,0,0
3019750417856,1,2,0,0
3019770606380,1,2,0,0
3019790493732,1,2,0,0
3019810418824,1,2,0,0
3019830408988,1,2,0,0
3019850432892,1,2,0,0
3019870446964,1,2,0,0
3019891492416,1,2,0,0
3019910370224,1,2,0,0
3019931374936,1,2,0,0
3019950459996,1,2,0,0
3019970628320,1,2,0,0
3019991716720,1,2,0,0
3020010380288,1,2,0,0
3020030360264,1,2,0,0
3020050528868,1,2,0,0
3020070511252,1,2,0,0
3020090572172,1,2,0,0
3020110352772,1,2,0,0
3020130378728,1,2,0,0
3020150453572,1,2,0,0
3020170563380,1,2,0,0
