stamp,aeb_switch,aeb_state,aeb_direction,aeb_fcn_state
2453630349064,1,2,0,0
2453650349224,1,2,0,0
2453671517348,1,2,0,0
2453694413172,1,2,0,0
2453710603844,1,2,0,0
2453730370192,1,2,0,0
2453750360548,1,2,0,0
2453771214440,1,2,0,0
2453797856660,1,2,0,0
2453810382836,1,2,0,0
2453830330264,1,2,0,0
2453850379508,1,2,0,0
2453870783584,1,2,0,0
2453896524284,1,2,0,0
2453911492996,1,2,0,0
2453930382276,1,2,0,0
2453950444468,1,2,0,0
2453970827220,1,2,0,0
2453998239116,1,2,0,0
2454010467688,1,2,0,0
2454030350820,1,2,0,0
2454050385652,1,2,0,0
2454070472860,1,2,0,0
2454095457496,1,2,0,0
2454111417844,1,2,0,0
2454130319748,1,2,0,0
2454150621328,1,2,0,0
2454170775060,1,2,0,0
2454199036052,1,2,0,0
2454210394436,1,2,0,0
2454230354056,1,2,0,0
2454250366176,1,2,0,0
2454271475616,1,2,0,0
2454296403860,1,2,0,0
2454310557056,1,2,0,0
2454330391684,1,2,0,0
2454350278120,1,2,0,0
2454371948132,1,2,0,0
2454390533264,1,2,0,0
2454410405596,1,2,0,0
2454430383940,1,2,0,0
2454450379508,1,2,0,0
2454470503780,1,2,0,0
2454490541488,1,2,0,0
2454510843076,1,2,0,0
2454531358804,1,2,0,0
2454550495540,1,2,0,0
2454570474420,1,2,0,0
2454590633952,1,2,0,0
2454610335012,1,2,0,0
2454630417956,1,2,0,0
2454650386112,1,2,0,0
2454670895476,1,2,0,0
2454690668372,1,2,0,0
2454710397780,1,2,0,0
2454730365908,1,2,0,0
2454750317860,1,2,0,0
2454770618780,1,2,0,0
2454790572232,1,2,0,0
2454819387196,1,2,0,0
2454831299564,1,2,0,0
2454850388096,1,2,0,0
2454870479424,1,2,0,0
2454891741564,1,2,0,0
2454910345132,1,2,0,0
2454930581516,1,2,0,0
2454950315248,1,2,0,0
2454971444236,1,2,0,0
2454990518548,1,2,0,0
2455011451272,1,2,0,0
2455030352072,1,2,0,0
2455050426036,1,2,0,0
2455070401356,1,2,0,0
2455090572520,1,2,0,0
2455110442176,1,2,0,0
2455130325320,1,2,0,0
2455150535924,1,2,0,0
2455171765728,1,2,0,0
2455191516092,1,2,0,0
2455210387268,1,2,0,0
2455230414196,1,2,0,0
2455250393540,1,2,0,0
2455270506004,1,2,0,0
2455290409976,1,2,0,0
2455310500492,1,2,0,0
2455331373732,1,2,0,0
2455350391220,1,2,0,0
2455371280008,1,2,0,0
2455390368084,1,2,0,0
2455410853900,1,2,0,0
2455430370592,1,2,0,0
2455450364484,1,2,0,0
2455472103500,1,2,0,0
2455490555044,1,2,0,0
2455510357508,1,2,0,0
2455530386048,1,2,0,0
2455550386916,1,2,0,0
2455570466676,1,2,0,0
2455590509684,1,2,0,0
2455612855508,1,2,0,0
2455631434784,1,2,0,0
2455650392424,1,2,0,0
2455670617596,1,2,0,0
2455690441924,1,2,0,0
2455710418668,1,2,0,0
2455730344372,1,2,0,0
2455750344068,1,2,0,0
2455770566392,1,2,0,0
2455790427924,1,2,0,0
2455810504264,1,2,0,0
2455830435680,1,2,0,0
2455850349500,1,2,0,0
2455870969656,1,2,0,0
2455890443768,1,2,0,0
2455910345908,1,2,0,0
2455930343648,1,2,0,0
2455950370580,1,2,0,0
2455970815952,1,2,0,0
2455990546740,1,2,0,0
2456010322124,1,2,0,0
2456030451368,1,2,0,0
2456050335248,1,2,0,0
2456071514276,1,2,0,0
2456090556948,1,2,0,0
2456110363824,1,2,0,0
2456130397852,1,2,0,0
2456150460232,1,2,0,0
2456171423748,1,2,0,0
2456191553888,1,2,0,0
2456211649884,1,2,0,0
2456230397272,1,2,0,0
2456250389248,1,2,0,0
2456270722864,1,2,0,0
2456290526788,1,2,0,0
2456310400596,1,2,0,0
2456330402708,1,2,0,0
2456350412244,1,2,0,0
2456371777344,1,2,0,0
2456391536948,1,2,0,0
2456412543908,1,2,0,0
2456430388136,1,2,0,0
2456450364268,1,2,0,0
2456470806748,1,2,0,0
2456490400036,1,2,0,0
2456511805876,1,2,0,0
2456530539864,1,2,0,0
2456550383064,1,2,0,0
2456570813172,1,2,0,0
2456590644380,1,2,0,0
2456614468916,1,2,0,0
2456630321684,1,2,0,0
2456650422904,1,2,0,0
2456670933972,1,2,0,0
2456690482124,1,2,0,0
2456711756492,1,2,0,0
2456730410896,1,2,0,0
2456750337196,1,2,0,0
2456770547580,1,2,0,0
2456791394304,1,2,0,0
2456815087960,1,2,0,0
2456830448448,1,2,0,0
2456850392512,1,2,0,0
2456870548504,1,2,0,0
2456890461552,1,2,0,0
2456913171436,1,2,0,0
2456930363984,1,2,0,0
2456950357392,1,2,0,0
2456970492184,1,2,0,0
2456990474260,1,2,0,0
2457017663468,1,2,0,0
2457030361336,1,2,0,0
2457050417452,1,2,0,0
2457070561808,1,2,0,0
2457090407944,1,2,0,0
2457114896944,1,2,0,0
2457130498524,1,2,0,0
2457150593256,1,2,0,0
2457170572512,1,2,0,0
2457191452560,1,2,0,0
2457218337184,1,2,0,0
2457231359776,1,2,0,0
2457251279636,1,2,0,0
2457270481304,1,2,0,0
2457290502924,1,2,0,0
2457317567932,1,2,0,0
2457330356416,1,2,0,0
2457350346112,1,2,0,0
2457372880448,1,2,0,0
2457390566660,1,2,0,0
2457410413100,1,2,0,0
2457430289408,1,2,0,0
2457450375064,1,2,0,0
2457470495176,1,2,0,0
2457490598720,1,2,0,0
2457510356952,1,2,0,0
2457530352144,1,2,0,0
2457550718932,1,2,0,0
2457571489536,1,2,0,0
2457590512520,1,2,0,0
2457610436896,1,2,0,0
2457630378000,1,2,0,0
2457650284416,1,2,0,0
2457671099092,1,2,0,0
2457690462092,1,2,0,0
2457710530128,1,2,0,0
2457730399596,1,2,0,0
2457750377320,1,2,0,0
2457770531056,1,2,0,0
2457790526016,1,2,0,0
2457810374256,1,2,0,0
2457830360660,1,2,0,0
2457850361224,1,2,0,0
2457870460848,1,2,0,0
2457890515464,1,2,0,0
2457910581496,1,2,0,0
2457930331380,1,2,0,0
